article_text,category
Nitish Kumar’s exit will not affect INDIA bloc poll prospects: Former Tripura CM Manik Sarkar The CPI(M) leader also said the BJP was exploiting the image of Lord Ram to benefit electorally,india
"Ex-BharatPe MD Ashneer Grover and wife move Delhi HC challenging lookout circulars Ashneer Grover, his wife and other family members are alleged to have caused a loss of Rs 81 crore to Resilient Innovations Private Limited, which runs the UPI platform.",india
"Tripurasundari Express suffers technical malfunction, snag delays several trains in Tripura Earlier on January 8, train service was affected in North Tripura for nearly 12 hours after a goods train got stranded at Panisagar.",india
"Hemant Soren Live Updates: JMM-Congress coalition MLAs set to fly to Hyderabad amid political turmoil in Jharkhand Jharkhand Hemant Soren Live Updates: A delegation of five JMM-Congress coalition MLAs, led by Champai Soren, met Governor C P Radhakrishnan earlier today at the Raj Bhavan in Ranchi, a day after Hemant Soren's resignation and subsequent arrest on Wednesday.",india
"Puja in cellar: Gyanvapi mosque committee knocks on Allahabad HC’s doors after Supreme Court refuses to hear urgent plea In the early hours of Thursday, Fuzail Ahmad Ayyubi, who is the Advocate on Record for the mosque committee, moved an urgent application before the Supreme Court seeking its intervention.",india
"Hemant Soren sent to 1-day judicial custody day after arrest by ED Meanwhile, amid the ongoing political crisis in Jharkhand, Governor CP Radhakrishnan has agreed to to meet the coalition legislators today evening. The governor has given time to meet the MLAs at 5.30 pm.",india
"After spending 12 years in jail for ‘raping’ daughter, Madhya Pradesh man acquitted Advocate Vivek Aggarwal, the lawyer for the accused, told the court that the daughter's statement is ""shaky and cannot be said to be of sterling quality.""",india
"‘Budget reflects aspirations of young India’: PM Modi lauds Nirmala Sitharaman for Budget 2024 PM Narendra Modi: ""There are two important decision in this Budget-- for research and innovation, a fund of Rs 1 lakh crore has been announced, the an extension for the tax exemption given to start-ups has also been announced""",india
Supreme Court to hear ex-Jharkhand chief minister Hemant Soren’s plea against ED arrest tomorrow Hemant Soren was arrested after a seven-hour questioning by the ED in the case.,india
"‘Party hasn’t shown interest in raising local issues’: Former Goa minister quits AAP In a letter to AAP Goa president Amit Palekar, Saldanha said she took the decision after observing that the functioning of the party did not match with her thought process on issues pertaining to the state.",india
"Bharat Jodo Nyay Yatra Live Updates: Rahul Gandhi resumes Yatra from West Bengal’s Murshidabad Bharat Jodo Nyay Yatra Live Updates, Day 19: Yesterday, as the yatra reentered West Bengal from Harishchandrapur in Malda district, a wave of CPI(M) workers and supporters joined the Congress leader.",india
"Naxalite Deva suspected to have led attack on security forces in Sukma: Police Three CRPF personnel, including two belonging to its specialised jungle warfare unit CoBRA (Commando Battalion for Resolute Action), were killed and 15 others injured in the encounter near Tekalgudem village on Tuesday.",india
"Budget 2024 Live Updates: BJP leaders welcome ‘outstanding’ interim Budget; Congress leaders write it off as ‘disappointing’ Budget 2024 Live Updates: The interim Budget also expanded the scope of several social welfare schemes for the benefit of four groups that Sitharaman said were the “highest priority” of the government — the poor, women, youth and farmers.",india
"Kovind Committee weighing impact of simultaneous polls on GDP growth, crime rate and education outcomes In its last meeting held on January 27, committee members, were apprised of macroeconomic impact of holding elections to panchayats, municipalities, state Assemblies and the Lok Sabha together.",india
"UP gets its fourth ‘acting’ DGP; six more states, one UT have acting police chiefs While Andhra Pradesh, Telangana, UP and Punjab have had such temporary DGPs for almost or more than a year, three other states, Uttarakhand, Odisha and West Bengal, and the Union Territory of J&K, have recently appointed “acting DGPs”.",india
"Didn’t surrender denominational character, AMU tells apex court Dhavan said the then “education minister while introducing the AMU Bill narrated the entire history of how AMU came to being from the foundation of the Muslim Anglo Oriental College to negotiations with the muslim University for its conversion into a Muslim university”.",india
"Upto 10 years in prison, Rs 1 crore fine, Centre proposes law to curb paper leaks The Bill is aimed at curbing cases related to paper leaks and organised cheating in public examinations, including the UPSC, SSC, and the Railways; and entrance examinations such as NEET, JEE, and CUET.",india
Political speech to praise PM: Opposition on President’s address to both Houses of Parliament Congress chief Mallikarjun Kharge said his party was happy that the President came to the new Parliament for the first time and addressed.,india
"9-year-old girl caught in tripartite custody battle walks out of shelter home Foster mom says she got her life back, as 'daughter' accompanies her home",india
"Supreme Court refuses to allow woman to terminate over 32-week pregnancy Appearing for the woman, Advocate Amit Mishra Wednesday told the bench that she did not wish to deliver the baby and will have to live with the trauma if forced to do so.",india
"From Kashmir to Kerala, many CMs, ex-CMs are under ED probe As Jharkhand CM Hemant Soren was arrested by the Enforcement Directorate (ED) in a money laundering case, the development would be watched keenly by several sitting and former CMs from Opposition parties who are also being probed by the Central agency.",india
"Assam Congress chief appears before police after summons related to Rahul’s yatra Speaking to reporters after leaving the police station, he said he would comply with the police’s directions and that the Assam Congress would simultaneously continue with its preparations for the upcoming Lok Sabha elections.",india
"Hemant Soren Arrest Highlights: Former Jharkhand CM in judicial custody, to appear in court again tomorrow Jharkhand Hemant Soren Arrest Highlights: Soren was arrested late Wednesday night after more than seven hours of questioning by the Enforcement Directorate in a money laundering case linked to a land scam.",india
"Another opposition leader falls: ED arrests Hemant Soren, he quits as Jharkhand CM Soren submitted his resignation to the Governor at night; his loyalist Champai Soren could step into his shoes",india
"Kerala court sentences Assam man to 82 yrs in prison for raping minor step-daughter The court also imposed a fine of Rs 1.1 lakh on the convict, ordering that it be paid as compensation to the victim, if the amount is recovered from the man.",india
"Assam: Girl raped, killed by man entrusted with taking her to school The accused, aged 25, is her family’s neighbour. Police said that after she came home for a break from school, her family entrusted him to take her back. Both the deceased and the accused are from the Karbi tribe.",india
"Normal to above-normal rainfall likely in northwest India in Feb: IMD After experiencing a drier-than-usual December and January, northwest India is expected to see normal to above-normal rainfall in February, the India Meteorological Department (IMD) said on Wednesday.",india
"Need to maintain dignity and reputation of judicial officers: Supreme Court There is a need to maintain the dignity and reputation of judicial officers and to protect them from motivated, libellous and unfounded allegations, the Supreme Court has said while convicting an advocate in a 2006 criminal contempt case.",india
"IAS officer Radha Raturi appointed first woman chief secretary of Uttarakhand Raturi, an Indian Administrative Service (IAS) officer of the 1988 batch, replaces Sukhbir Singh Sandhu whose tenure ended on Wednesday.",india
Parliament sets new practice of Sengol procession ahead of President’s address Attendance was thin for President Murmu's address to the members of the Lok Sabha and the Rajya Sabha as many empty seats were seen in the cavernous Lok Sabha chamber that has a seating capacity of 888 persons.,india
"Kerala court gives death penalty to man convicted in triple murder case Besides that, the court also sentenced the accused to a cumulative 46 years for various offences, including attempt to murder, house trespass and causing grievous injuries, and imposed a fine of Rs 4.16 lakh on him, the SPP said.",india
"From paucity to excess, why sugar mills in India now face a financial crisis due to better yields Cap in ethanol production and drop in sugar prices now pose a new threat for sugar millers despite better sugarcane yields.",india
"Rahul Gandhi’s car window pane smashed due to sudden braking, clarifies Congress after security lapse charge ""People's leader Rahul Gandhi is fighting for justice against the injustice being done to the people."" Congress said on its official X (formerly Twitter) handle.",india
"Jharkhand CM Hemant Soren lodges FIR against ED officers in Ranchi over searches at Delhi house Soren alleged that the ED conducted the search operation at his residence in the national capital to “harass and malign him and his entire community”, the FIR stated.",india
