processed_text,compound_score,sentiment
nitish kumar exit affect india bloc poll prospects former tripura cm manik sarkar cpi leader also said bjp exploiting image lord ram benefit electorally,0.3182,positive
md ashneer grover wife move delhi hc challenging lookout circulars ashneer grover wife family members alleged caused loss rs crore resilient innovations private limited runs upi platform,-0.3818,negative
tripurasundari express suffers technical malfunction snag delays several trains tripura earlier january train service affected north tripura nearly hours goods train got stranded panisagar,-0.5719,negative
hemant soren live updates coalition mlas set fly hyderabad amid political turmoil jharkhand jharkhand hemant soren live updates delegation five coalition mlas led champai soren met governor c p radhakrishnan earlier today raj bhavan ranchi day hemant soren resignation subsequent arrest wednesday,-0.7269,negative
puja cellar gyanvapi mosque committee knocks allahabad hc doors supreme court refuses hear urgent plea early hours thursday fuzail ahmad ayyubi advocate record mosque committee moved urgent application supreme court seeking intervention,0.8689,positive
hemant soren sent judicial custody day arrest ed meanwhile amid ongoing political crisis jharkhand governor cp radhakrishnan agreed meet coalition legislators today evening governor given time meet mlas pm,-0.6597,negative
spending years jail raping daughter madhya pradesh man acquitted advocate vivek aggarwal lawyer accused told court daughter statement shaky said sterling quality,-0.7845,negative
budget reflects aspirations young india pm modi lauds nirmala sitharaman budget pm narendra modi two important decision budget research innovation fund rs lakh crore announced extension tax exemption given also announced,0.5267,positive
supreme court hear chief minister hemant soren plea ed arrest tomorrow hemant soren arrested questioning ed case,-0.3182,negative
party shown interest raising local issues former goa minister quits aap letter aap goa president amit palekar saldanha said took decision observing functioning party match thought process issues pertaining state,0.8126,positive
bharat jodo nyay yatra live updates rahul gandhi resumes yatra west bengal murshidabad bharat jodo nyay yatra live updates day yesterday yatra reentered west bengal harishchandrapur malda district wave cpi workers supporters joined congress leader,0.4404,positive
naxalite deva suspected led attack security forces sukma police three crpf personnel including two belonging specialised jungle warfare unit cobra commando battalion resolute action killed others injured encounter near tekalgudem village tuesday,-0.872,negative
budget live updates bjp leaders welcome outstanding interim budget congress leaders write disappointing budget live updates interim budget also expanded scope several social welfare schemes benefit four groups sitharaman said highest priority government poor women youth farmers,0.5719,positive
kovind committee weighing impact simultaneous polls gdp growth crime rate education outcomes last meeting held january committee members apprised macroeconomic impact holding elections panchayats municipalities state assemblies lok sabha together,-0.2263,negative
gets fourth acting dgp six states one ut acting police chiefs andhra pradesh telangana punjab temporary dgps almost year three states uttarakhand odisha west bengal union territory j k recently appointed acting dgps,0.0,neutral
surrender denominational character amu tells apex court dhavan said education minister introducing amu bill narrated entire history amu came foundation muslim anglo oriental college negotiations muslim university conversion muslim university,0.0,neutral
upto years prison rs crore fine centre proposes law curb paper leaks bill aimed curbing cases related paper leaks organised cheating public examinations including upsc ssc railways entrance examinations neet jee cuet,-0.7269,negative
political speech praise pm opposition president address houses parliament congress chief mallikarjun kharge said party happy president came new parliament first time addressed,0.875,positive
girl caught tripartite custody battle walks shelter home foster mom says got life back accompanies home,-0.3818,negative
supreme court refuses allow woman terminate pregnancy appearing woman advocate amit mishra wednesday told bench wish deliver baby live trauma forced,0.34,positive
kashmir kerala many cms ed probe jharkhand cm hemant soren arrested enforcement directorate ed money laundering case development would watched keenly several sitting former cms opposition parties also probed central agency,0.1531,positive
assam congress chief appears police summons related rahul yatra speaking reporters leaving police station said would comply police directions assam congress would simultaneously continue preparations upcoming lok sabha elections,0.0,neutral
hemant soren arrest highlights former jharkhand cm judicial custody appear court tomorrow jharkhand hemant soren arrest highlights soren arrested late wednesday night seven hours questioning enforcement directorate money laundering case linked land scam,-0.9001,negative
another opposition leader falls ed arrests hemant soren quits jharkhand cm soren submitted resignation governor night loyalist champai soren could step shoes,-0.3818,negative
kerala court sentences assam man yrs prison raping minor court also imposed fine rs lakh convict ordering paid compensation victim amount recovered man,-0.8591,negative
assam girl raped killed man entrusted taking school accused aged family neighbour police said came home break school family entrusted take back deceased accused karbi tribe,-0.8979,negative
normal rainfall likely northwest india feb imd experiencing december january northwest india expected see normal rainfall february india meteorological department imd said wednesday,0.0,neutral
need maintain dignity reputation judicial officers supreme court need maintain dignity reputation judicial officers protect motivated libellous unfounded allegations supreme court said convicting advocate criminal contempt case,0.875,positive
ias officer radha raturi appointed first woman chief secretary uttarakhand raturi indian administrative service ias officer batch replaces sukhbir singh sandhu whose tenure ended wednesday,0.0,neutral
parliament sets new practice sengol procession ahead president address attendance thin president murmu address members lok sabha rajya sabha many empty seats seen cavernous lok sabha chamber seating capacity persons,-0.2023,negative
kerala court gives death penalty man convicted triple murder case besides court also sentenced accused cumulative years various offences including attempt murder house trespass causing grievous injuries imposed fine rs lakh spp said,-0.9735,negative
paucity excess sugar mills india face financial crisis due better yields cap ethanol production drop sugar prices pose new threat sugar millers despite better sugarcane yields,-0.5859,negative
rahul gandhi car window pane smashed due sudden braking clarifies congress security lapse charge people leader rahul gandhi fighting justice injustice done people congress said official x formerly twitter handle,0.128,positive
jharkhand cm hemant soren lodges fir ed officers ranchi searches delhi house soren alleged ed conducted search operation residence national capital harass malign entire community fir stated,-0.4939,negative
